code_of,produit,machine,cadence_theorique_saisie,cadence_reelle_observee
WH/MO/53758,[VR011] - IMPEC Gel Hydro-alcoolique vrac,Mélangeur 2 tonnes N°3,0.03,15.32
WH/MO/53816,[VR004] - IMPEC Vaisselle fleur de cerisier vrac,Mélangeur 2 tonnes N°1,50.0,65.69
WH/MO/53746,[FL016] - Flacon PET IMPEC Vaisselle Mini 250ml,Souffleuse semi automatique 1,20.0,27.31
WH/MO/53870_SCOTCHEUSE,[PF238 PF] - IMPEC Vaisselle pomme raisin Maxi 1L,Scotcheuse IMPEC,1.2,1.48
WH/MO/53865_FARDELEUSE,[PK239 PK] - IMPEC Vaisselle menthe citron Mini 250ml,Fardeleuse automatique N°1,1.4,1.85
WH/MO/53811,[FL021] - Flacon PET MAGNEVA Shampooing 250 ML,Souffleuse automatique à 3 cavitées,8.15,29.34
WH/MO/53856,[PK292] - IMPEC Vaisselle assorti Mini 250ml,Fardeleuse automatique N°1,3.0,3.6
WH/MO/53881,[VR004] - IMPEC Vaisselle fleur de cerisier vrac,Mélangeur 2 tonnes N°1,50.0,65.91
WH/MO/53803_SCOTCHEUSE,[PF450 PF] - IMPEC Lave mains Fruits de la passion 300ml,Scotcheuse IMPEC,0.03,362.07
WH/MO/53965,[VR002] - IMPEC Vaisselle menthe citron vrac,Mélangeur 2 tonnes N°1,50.0,625.0
WH/MO/53916_REMPLISSEUSE,[PF239] - IMPEC Vaisselle menthe citron Mini 250ml,Remplisseuse automatique N°03,54.0,83.51
WH/MO/53964,[FL024] - Flacon PET Parfum d'Intérieur 300ml,Souffleuse semi automatique 2,14.41,17.59
WH/MO/53803_REMPLISSEUSE,[PF450] - IMPEC Lave mains Fruits de la passion 300ml,Etiquetteuse automatique N°1,1.72,7.73
WH/MO/53954_FARDELEUSE,[PK239 PK] - IMPEC Vaisselle menthe citron Mini 250ml,Fardeleuse automatique N°1,1.4,2.12
WH/MO/53915_FARDELEUSE,[PK239 PK] - IMPEC Vaisselle menthe citron Mini 250ml,Fardeleuse automatique N°1,1.4,3.12
WH/MO/53939,[PK557] - CLEANAUTO Liquide de refroidissement bleu 5L,Opérateur Coco + autre,0.03,0.5
WH/MO/53792_REMPLISSEUSE,[PK241 PK] - IMPEC Vaisselle pomme raisin Mini 250ml,Remplisseuse automatique N°02,0.03,55.98
